id,numpos,bytes,fen,dtm
KQKQBB,2767810950,1339062553,8/8/5q2/8/8/4b3/3kb3/1K4Q1 w - - ,167
KQKRRB,2767810950,1065940371,8/3r4/7b/5r2/8/8/2Q5/k6K w - - ,143
KQKQRB,5535621900,2071537550,8/3Q4/7b/1r6/8/8/8/1k4Kq w - - ,141
KQKQQB,2767810950,851908150,8/8/8/8/1K6/6b1/8/qk4qQ w - - ,47
KQKRRR,922603650,296786734,8/5r2/8/7K/8/8/6rQ/r2k4 w - - ,101
KQKQRR,2767810950,967744345,8/2r5/8/K7/8/8/1q1k4/Q6r w - - ,99
KQKQQR,2767810950,872719400,1q6/8/4rq2/8/8/8/8/k1K4Q w - - ,77
KQKQQQ,922603650,210380843,8/8/q7/8/4q3/1K6/6Qq/1k6 w - - ,25
KKNNNN,257724390,77218791,,
KKBNNN,1030897560,308991324,,
KKRNNN,1030897560,220264277,,
KKQNNN,1030897560,195407587,,
KKBBNN,1546346340,502654618,,
KKRBNN,3092692680,656088037,,
KKQBNN,3092692680,588702341,,
KKRRNN,1546346340,245076133,,
KKQRNN,3092692680,449239211,,
KKQQNN,1546346340,214455531,,
KKBBBN,1030897560,306727388,,
KKRBBN,3092692680,669183331,,
KKQBBN,3092692680,608342363,,
KKRRBN,3092692680,515851120,,
KKQRBN,6185385360,1001795672,,
KKQQBN,3092692680,476928906,,
KKRRRN,1030897560,119827314,,
KKQRRN,3092692680,341019540,,
KKQQRN,3092692680,357857276,,
KKQQQN,1030897560,122280376,,
KKBBBB,257724390,60500101,,
KKRBBB,1030897560,198179579,,
KKQBBB,1030897560,171116547,,
KKRRBB,1546346340,267590415,,
KKQRBB,3092692680,485868047,,
KKQQBB,1546346340,233597291,,
KKRRRB,1030897560,121433574,,
KKQRRB,3092692680,335911599,,
KKQQRB,3092692680,349226384,,
KKQQQB,1030897560,118811785,,
KKRRRR,257724390,19663624,,
KKQRRR,1030897560,70849306,,
KKQQRR,1546346340,133859175,,
KKQQQR,1030897560,97659001,,
KKQQQQ,257724390,19493935,,
KNNNPK,2388245373,559137344,8/2NN4/8/k7/N7/P7/8/7K w - - ,49
KBNNPK,7684590828,1656909731,k1K5/1N5N/1P6/8/8/8/8/1B6 w - - ,57
KRNNPK,7621193603,996381904,8/8/8/Nk6/RN6/P7/8/7K w - - ,35
KQNNPK,7237383369,745655213,4N2Q/6KN/8/8/8/2P5/8/k7 w - - ,15
KNNPKN,7677994559,3642708326,N2n4/1P6/k7/4N3/3K4/8/8/8 w - - ,183
KNNPKB,7677994559,3743453048,8/7N/4b3/8/8/1Nk5/4P3/6K1 w - - ,159
KNNPKR,7677994559,1336915655,8/8/4PN2/K7/8/7N/1r6/1k6 w - - ,131
KNNPKQ,7677994559,3191987466,4K3/1P6/1k5q/8/8/8/8/2N2N2 w - - ,149
KBBNPK,7961623740,1571441820,K2k4/3B4/3P1N2/8/8/7B/8/8 w - - ,63
KRBNPK,16065305140,2035028191,8/8/8/8/B7/RN6/Pk6/7K w - - ,33
KQBNPK,15253020474,1564295629,2N5/8/8/8/8/8/k1PK4/2QB4 w - - ,19
KBNPKN,16186826174,7194469148,2n5/8/8/4NK2/8/k7/P6B/8 w - - ,221
KBNPKB,16186826174,7213960989,8/8/8/8/7b/8/1K1k1P2/N5B1 w - - ,139
KBNPKR,16186826174,6832014581,8/rk6/8/7N/K6B/8/6P1/8 w - - ,281
KBNPKQ,16186826174,8016742105,3N4/3P4/2K5/8/1k1q4/8/7B/8 w - - ,225
KRRNPK,7831527725,604217660,3K4/N7/8/8/3R4/2kP4/3R4/8 w - - ,23
KQRNPK,15126986415,1118508566,1Q5N/8/8/8/8/8/kP5K/1R6 w - - ,13
KRNPKN,16057066825,4209645756,1k6/R7/2nP4/K5N1/8/8/8/8 w - - ,175
KRNPKB,16057066825,4506031364,8/8/8/8/4b3/1k2PN2/8/1KR5 w - - ,141
KRNPKR,16057066825,5559571917,8/7N/8/8/8/2k5/4r2P/K2R4 w - - ,169
KRNPKQ,16057066825,4283517708,7q/8/1NK5/4P3/1R6/8/8/k7 w - - ,245
KQQNPK,7053722316,454094823,7Q/6NQ/7K/5P2/8/8/8/2k5 w - - ,9
KQNPKN,15239383701,2566075571,8/7K/5n2/3Q4/8/8/7P/Nk6 w - - ,121
KQNPKB,15239383701,2632952593,8/8/8/8/1N6/4b3/7P/k1K3Q1 w - - ,83
KQNPKR,15239383701,3131460105,7K/7r/4P3/8/8/NQ6/8/k7 w - - ,89
KQNPKQ,15239383701,4384902552,K3q3/3N4/8/8/8/k3P3/4Q3/8 w - - ,265
KNPKNN,8227988370,1421698944,k7/8/n2P4/1K3n2/8/6N1/8/8 w - - ,197
KNPKBN,16455976740,2889257051,k7/8/K2P4/8/8/5N2/n2b4/8 w - - ,197
KNPKRN,16455976740,7437119508,k7/3P4/n7/8/1K6/1N6/2r5/8 w - - ,197
KNPKQN,16455976740,5199522386,k7/3P4/q7/K7/3n4/8/3N4/8 w - - ,195
KNPKBB,8227988370,2803879661,8/8/5b2/PNK5/8/1b6/8/3k4 w - - ,171
KNPKRB,16455976740,7108243652,5b2/8/2P5/8/8/8/1N1k3r/6K1 w - - ,147
KNPKQB,16455976740,4899913970,8/4P2q/8/8/k1K5/8/8/2b1N3 w - - ,89
KNPKRR,8227988370,3049965384,6N1/1P6/3K4/8/8/k7/8/r5r1 w - - ,349
KNPKQR,16455976740,4573848871,k7/5P2/8/3N4/8/6K1/r7/7q w - - ,101
KNPKQQ,8227988370,1916154033,4q3/3P4/8/N1K5/k7/8/7q/8 w - - ,81
KBBBPK,2655914000,442437377,7B/B5K1/8/B7/8/8/P7/k7 w - - ,47
KRBBPK,8180453520,958342717,8/8/8/B7/RB6/Pk3K2/8/8 w - - ,41
KQBBPK,7765293120,703559635,8/2K5/8/8/8/8/k1PB4/2QB4 w - - ,19
KBBPKN,8243187360,2870261878,8/1n6/3P3B/8/5K2/8/k7/4B3 w - - ,209
KBBPKB,8243187360,2197999039,b7/8/6B1/3K4/8/8/2P5/Bk6 w - - ,107
KBBPKR,8243187360,2498007012,2B5/4Br2/K1k5/8/8/8/6P1/8 w - - ,359
KBBPKQ,8243187360,3263827568,6K1/P7/1q6/1B6/2B5/8/8/1k6 w - - ,195
KRRBPK,8113734960,587963895,7K/8/8/8/8/BRPR4/2k5/8 w - - ,21
KQRBPK,15668895360,1047113348,1Q6/8/8/8/8/1P6/BR6/k5K1 w - - ,11
KRBPKN,16637490240,3949529745,8/8/8/2K5/k7/3n1P1B/8/4R3 w - - ,181
KRBPKB,16637490240,4167659794,b7/8/8/8/8/2k5/4P1K1/6BR w - - ,141
KRBPKR,16637490240,5156167590,8/8/1B6/1k6/R7/2r5/6P1/K7 w - - ,151
KRBPKQ,16637490240,3325003756,8/7q/1R1P4/8/8/7B/3K4/k7 w - - ,253
KQQBPK,7304865208,425811163,1Q6/Q1B5/KP6/8/8/8/8/3k4 w - - ,9
KQBPKN,15787021288,2546843955,8/8/8/2K5/k7/3n1P1B/8/4Q3 w - - ,181
KQBPKB,15787021288,2553145756,8/8/8/8/2P5/1K3Q2/8/kB1b4 w - - ,101
KQBPKR,15787021288,3027936240,8/8/2k2P2/8/8/Q4K1r/B7/8 w - - ,85
KQBPKQ,15787021288,4247514767,5q2/2B5/8/4Q3/8/P2k1K2/8/8 w - - ,315
KBPKNN,8526316560,1605245963,K1kn4/B3P3/8/8/2n5/8/8/8 w - - ,441
KBPKBN,17052633120,2678024302,1n1b4/k1P5/3B4/K7/8/8/8/8 w - - ,199
KBPKRN,17052633120,6793195444,3r4/2P5/7B/6n1/3K4/8/k7/8 w - - ,203
KBPKQN,17052633120,4913311697,3q4/2P5/7B/6n1/3K4/8/k7/8 w - - ,203
KBPKBB,8526316560,985112606,1b6/8/7P/k7/8/3K3b/7B/8 w - - ,169
KBPKRB,17052633120,6380877286,8/2P5/8/r5bB/8/8/3k4/6K1 w - - ,141
KBPKQB,17052633120,4457909213,6bq/3P4/1k6/8/K7/8/8/5B2 w - - ,115
KBPKRR,8526316560,2920075859,8/r2P4/8/8/8/6r1/7B/1k3K2 w - - ,211
KBPKQR,17052633120,4371301074,2q5/kP6/2K5/3r4/8/8/B7/8 w - - ,97
KBPKQQ,8526316560,1891498229,Kq6/P2q4/k7/7B/8/8/8/8 w - - ,69
KRRRPK,2591413784,136513404,7K/8/R7/2R5/1kP5/2R5/8/8 w - - ,15
KQRRPK,7638174552,394820951,1R6/1Q6/1RK5/1P6/8/8/8/k7 w - - ,9
KRRPKN,8112305064,1142163094,8/RK6/3n4/3k4/2R5/4P3/8/8 w - - ,107
KRRPKB,8112305064,1312202365,8/8/8/8/8/3bP3/4R3/RK1k4 w - - ,139
KRRPKR,8112305064,1483622859,8/8/8/8/2k5/8/1R4P1/r2K2R1 w - - ,149
KRRPKQ,8112305064,1640427463,7q/k7/8/1R6/8/8/2R2P2/7K w - - ,505
KQQRPK,7244363904,342122587,8/8/8/8/2P1R1QQ/8/4K3/k7 w - - ,7
KQRPKN,15660233592,1711211792,8/R7/8/4Q3/8/Pk1n4/8/4K3 w - - ,101
KQRPKB,15660233592,1831721133,8/8/4Q3/3b4/8/8/K1kP4/R7 w - - ,133
KQRPKR,15660233592,2064359338,8/8/8/8/2k5/8/1R4P1/r2K2Q1 w - - ,149
KQRPKQ,15660233592,2858523615,8/4R3/8/8/8/K1q1P1Q1/8/k7 w - - ,253
KRPKNN,8459934480,2619162788,8/1P1k4/2R5/n7/1n6/K7/8/8 w - - ,505
KRPKBN,16919868960,5028904676,8/6P1/8/7n/5K2/4R1b1/8/1k6 w - - ,407
KRPKRN,16919868960,3035606499,8/5R2/8/8/2k2n2/5K2/6P1/4r3 w - - ,149
KRPKQN,16919868960,6091471497,7n/6P1/k7/8/1R6/8/7q/5K2 w - - ,157
KRPKBB,8459934480,1989553651,8/8/2P5/2kb2R1/4b1K1/8/8/8 w - - ,271
KRPKRB,16919868960,2985830775,8/5R2/8/8/2k1rb2/8/4K1P1/8 w - - ,151
KRPKQB,16919868960,5967360458,bK6/6P1/8/2q5/8/1k6/8/R7 w - - ,179
KRPKRR,8459934480,2752690358,8/5R2/8/8/2k2r2/5K2/6P1/4r3 w - - ,149
KRPKQR,16919868960,4888266886,6R1/5P2/8/2k1r2q/8/K7/8/8 w - - ,235
KRPKQQ,8459934480,2138602276,8/7P/2q5/8/8/2k5/6RK/q7 w - - ,159
KQQQPK,2210932072,87785232,8/1Q6/1Q6/7Q/1P6/8/4K3/k7 w - - ,7
KQQPKN,7297961576,615319235,8/8/8/8/P2Q4/K4Q2/2n5/1k6 w - - ,47
KQQPKB,7297961576,649176084,8/8/8/3b4/4Q3/P1k5/K6Q/8 w - - ,31
KQQPKR,7297961576,721239651,k7/P5Q1/Q7/8/8/8/r7/K7 w - - ,91
KQQPKQ,7297961576,928522807,k1K1q3/8/8/8/8/8/6P1/5Q1Q w - - ,243
KQPKNN,8024443680,2281653785,8/2n5/8/K7/1Pn5/8/2k5/7Q w - - ,159
KQPKBN,16048887360,4742357645,1K6/3n4/2k3P1/4Q3/8/8/5b2/8 w - - ,111
KQPKRN,16048887360,5643717430,8/2n5/8/8/1K3r2/Q7/2kP4/8 w - - ,219
KQPKQN,16048887360,2856606847,4n1Q1/8/8/8/2K5/4P3/k4q2/8 w - - ,255
KQPKBB,8024443680,2302752105,8/8/P7/8/3k4/4b3/4b3/5QK1 w - - ,167
KQPKRB,16048887360,5999019257,8/1kb5/8/8/3r4/8/4P3/2K1Q3 w - - ,309
KQPKQB,16048887360,2784038730,4b3/8/8/8/6Q1/k1K1P3/5q2/8 w - - ,255
KQPKRR,8024443680,2194278647,8/1k2P3/8/4K3/8/8/2r4r/Q7 w - - ,329
KQPKQR,16048887360,5308267500,4r3/8/8/8/8/4P3/1k1K1Q2/1q6 w - - ,251
KQPKQQ,8024443680,1924377951,2Q5/8/7q/8/8/4P3/3q4/k1K5 w - - ,247
KPKNNN,2939087360,1243694459,n7/8/5P2/k6K/8/8/8/n6n w - - ,163
KPKBNN,8817262080,4122483339,8/1P3n2/1b2K3/n7/8/8/8/k7 w - - ,179
KPKRNN,8817262080,2778733262,7n/5P2/1r6/8/8/k2K4/6n1/8 w - - ,163
KPKQNN,8817262080,2551025149,1n1n2q1/2P2K2/8/8/8/8/k7/8 w - - ,147
KPKBBN,8817262080,3973851310,8/bb3P2/8/8/8/2k5/8/1K1n4 w - - ,229
KPKRBN,17634524160,5959757216,1n5r/P7/1b6/8/8/k7/8/4K3 w - - ,159
KPKQBN,17634524160,5438635285,8/3P4/8/8/8/2k5/8/Kq2n2b w - - ,109
KPKRRN,8817262080,2223343660,k7/2P4r/8/8/8/3r4/8/1nK5 w - - ,143
KPKQRN,17634524160,3709062571,1n1q4/1KP5/8/8/8/8/4r3/1k6 w - - ,135
KPKQQN,8817262080,1489295501,8/6P1/8/8/8/2K2n2/k7/5q1q w - - ,47
KPKBBB,2939087360,841158064,8/4P3/8/4b1b1/8/7b/5K2/3k4 w - - ,195
KPKRBB,8817262080,2539908172,5b1r/P7/k7/8/8/8/4b1K1/8 w - - ,179
KPKQBB,8817262080,2297778639,1K6/2Pkb3/4b3/8/8/8/8/7q w - - ,167
KPKRRB,8817262080,2120158659,8/2Pr4/7b/5r2/8/8/8/2k4K w - - ,143
KPKQRB,17634524160,3483974452,3q4/2P5/7b/7r/8/8/8/1k4K1 w - - ,139
KPKQQB,8817262080,1420267248,qk4q1/5P2/6b1/1K6/8/8/8/8 w - - ,47
KPKRRR,2939087360,464853139,4K3/Pr6/6r1/8/k7/8/8/r7 w - - ,101
KPKQRR,8817262080,1286278477,3qK3/2P5/3k2r1/8/8/8/8/r7 w - - ,99
KPKQQR,8817262080,1134384247,8/P7/5q2/5r2/8/1K6/7q/k7 w - - ,77
KPKQQQ,2939087360,279628481,k4q2/4P3/2K5/7q/8/8/3q4/8 w - - ,19
KNNNKP,2454168310,1037565557,8/7p/8/8/8/2NN4/3k2K1/N7 w - - ,217
KBNNKP,7898299172,2619063774,8/8/8/1kB4p/2N3K1/8/8/N7 w - - ,215
KRNNKP,7833728534,1612066906,8/8/8/p7/1K6/4R3/3k4/6NN w - - ,213
KQNNKP,7437802122,1081868953,8/8/8/6p1/6KQ/2N5/8/k2N4 w - - ,183
KNNKNP,7892892088,960360845,7n/1K2p3/8/8/8/3N4/3N4/k7 w - - ,275
KNNKBP,7892892088,1117060962,1N6/8/p7/8/8/8/b1k1N3/K7 w - - ,229
KNNKRP,7892892088,2151333764,1N6/8/p7/8/8/8/r1k1N3/K7 w - - ,229
KNNKQP,7892892088,3597085638,1N6/8/p7/8/8/8/q1k1N3/K7 w - - ,229
KBBNKP,8184628434,2338735582,8/8/3K4/8/8/kB1B4/1p6/N7 w - - ,205
KRBNKP,16516596472,2989637051,R3B3/N7/8/8/8/3K4/6p1/1k6 w - - ,243
KQBNKP,15678498028,2024859742,Q3B3/N7/8/8/8/8/1p6/K1k5 w - - ,145
KBNKNP,16643179728,2625654211,k7/6p1/8/1n1K4/8/5N2/8/4B3 w - - ,255
KBNKBP,16643179728,2373354577,8/8/3b4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKRP,16643179728,4134390816,8/8/3r4/2K5/1p6/8/k7/5B1N w - - ,209
KBNKQP,16643179728,7399847361,8/8/3q4/2K5/1p6/8/k7/5B1N w - - ,209
KRRNKP,8052120378,876034788,N7/8/8/5R2/8/7R/3p4/2k1K3 w - - ,177
KQRNKP,15550129968,1366672368,4Q2R/8/8/8/8/8/1p6/K1k3N1 w - - ,97
KRNKNP,16511011940,5762798802,8/8/8/8/k7/8/N2p2R1/4n1K1 w - - ,503
KRNKBP,16511011940,5888150362,5N2/4K3/8/5R2/1p6/8/k6b/8 w - - ,387
KRNKRP,16511011940,1873803951,k7/8/1K4p1/8/r7/8/3N4/3R4 w - - ,103
KRNKQP,16511011940,6787109394,8/8/8/4R3/8/3p2q1/3k3N/K7 w - - ,61
KQQNKP,7249605170,518398239,8/Q7/2Q5/2N5/8/8/1p6/K1k5 w - - ,73
KQNKNP,15667232408,3450003731,8/8/8/2k5/2nN4/5Q2/1p1K4/8 w - - ,131
KQNKBP,15667232408,3501416858,3K4/8/8/b7/8/6Q1/kp1N4/8 w - - ,101
KQNKRP,15667232408,4179811142,8/2r4K/8/2N5/2p5/8/k7/7Q w - - ,205
KQNKQP,15667232408,2063273825,8/3k1K2/5p2/6N1/8/8/6Q1/q7 w - - ,129
KNKNNP,8461431900,3671809012,8/8/1n3n2/8/5N2/8/p1K5/k7 w - - ,13
KNKBNP,16922863800,9081078921,8/8/8/b7/8/pn6/3N4/k1K5 w - - ,15
KNKRNP,16922863800,6930968542,8/8/8/8/3N4/pn6/3r4/k1K5 w - - ,15
KNKQNP,16922863800,4740026952,8/8/8/q7/8/pn6/3N4/k1K5 w - - ,15
KNKBBP,8461431900,4147768521,8/8/8/b7/8/pb6/3N4/k1K5 w - - ,15
KNKRBP,16922863800,6762440843,8/8/8/8/3N4/pb6/3r4/k1K5 w - - ,15
KNKQBP,16922863800,4738106241,8/8/8/q7/8/pb6/3N4/k1K5 w - - ,15
KNKRRP,8461431900,2679962112,8/8/8/8/3N4/pr6/3r4/k1K5 w - - ,15
KNKQRP,16922863800,4065125646,8/8/8/8/3N4/pq6/3r4/k1K5 w - - ,15
KNKQQP,8461431900,1398456498,8/8/8/q7/8/pq6/3N4/k1K5 w - - ,15
KBBBKP,2730818160,487764608,8/8/2B5/8/8/8/1Bkp4/B3K3 w - - ,147
KRBBKP,8411859960,1360826422,8/8/8/8/8/8/BR1p4/B1k1K3 w - - ,151
KQBBKP,7983421440,899505121,8/8/8/8/8/4Q3/1pkB3B/K7 w - - ,157
KBBKNP,8477211450,2378995944,K7/8/8/k7/Bp6/7n/7B/8 w - - ,261
KBBKBP,8477211450,688899195,8/8/8/2k5/1b5B/3B2p1/4K3/8 w - - ,149
KBBKRP,8477211450,1097904182,8/8/8/2k5/6B1/1p2r3/8/3KB3 w - - ,151
KBBKQP,8477211450,2844367059,8/8/8/2k5/1q5B/3B2p1/4K3/8 w - - ,149
KRRBKP,8343902340,817024905,8/8/8/7R/8/8/1p6/K1k3BR w - - ,145
KQRBKP,16110319800,1264803771,Q7/R7/8/1B6/8/8/1p6/K1k5 w - - ,111
KRBKNP,17111184720,5287994335,8/4K3/2n5/8/6R1/3p2B1/3k4/8 w - - ,457
KRBKBP,17111184720,5403058456,8/8/8/8/8/K7/1pkb4/3R3B w - - ,201
KRBKRP,17111184720,1820179694,k2r4/8/8/Kp6/8/7R/8/3B4 w - - ,153
KRBKQP,17111184720,6750303857,6R1/8/7B/4q3/8/5K2/6p1/k7 w - - ,75
KQQBKP,7509169048,482650751,3Q4/Q7/8/8/2B5/8/1p6/K1k5 w - - ,59
KQBKNP,16233397588,3167516788,8/6Q1/8/3n4/1K3B2/8/1pk5/8 w - - ,125
KQBKBP,16233397588,3171768293,5B2/8/1K6/8/2k5/8/7p/Q5b1 w - - ,115
KQBKRP,16233397588,3817615983,8/7Q/8/1pr4K/2B5/8/1k6/8 w - - ,209
KQBKQP,16233397588,2084385075,7q/7p/8/k7/6BQ/8/8/4K3 w - - ,125
KBKNNP,8769939360,3072909653,8/8/8/8/6n1/8/p1n5/k1K3B1 w - - ,19
KBKBNP,17539878720,6997478994,1B6/8/8/8/8/8/p1b5/k2K2n1 w - - ,17
KBKRNP,17539878720,6460880551,1B6/8/8/8/8/8/p1r5/k1K3n1 w - - ,17
KBKQNP,17539878720,4502895490,1B6/8/8/8/8/8/p1q5/k1K3n1 w - - ,17
KBKBBP,8769939360,2307296138,8/8/8/8/8/8/p1b5/kbBK4 w - - ,7
KBKRBP,17539878720,6264548164,8/8/8/6B1/8/8/p6r/k2K1b2 w - - ,9
KBKQBP,17539878720,4333830667,8/8/8/8/8/B7/p7/kbKq4 w - - ,5
KBKRRP,8769939360,2755882065,8/8/8/8/8/r7/p3r3/k1K3B1 w - - ,5
KBKQRP,17539878720,4168480768,8/8/8/8/8/5q2/p3r3/k1K3B1 w - - ,5
KBKQQP,8769939360,1493497922,8/8/8/8/8/3q4/p5qB/k1K5 w - - ,5
KRRRKP,2665120126,188055144,7R/8/5R2/8/8/5R2/1pk5/K7 w - - ,91
KQRRKP,7853944878,470480893,8/R7/8/3Q4/5R2/2k5/1p6/K7 w - - ,89
KRRKNP,8343895876,1727169617,8/k7/8/pR6/4K3/2n5/5R2/8 w - - ,131
KRRKBP,8343895876,1910031773,8/5R2/8/8/k2K4/1R3b2/3p4/8 w - - ,85
KRRKRP,8343895876,2028508520,8/8/8/K7/8/kpR5/2R5/7r w - - ,159
KRRKQP,8343895876,1478750469,8/8/1qk1p1K1/8/8/8/3R4/R7 w - - ,89
KQQRKP,7447546836,382708668,7R/8/8/1Q6/7Q/2k5/3p4/2K5 w - - ,73
KQRKNP,16104255438,2110391557,8/5R2/8/K7/8/1n6/2p4Q/1k6 w - - ,137
KQRKBP,16104255438,2285299927,5K2/3k4/8/8/2R5/b7/Q4p2/8 w - - ,161
KQRKRP,16104255438,2611689331,8/1K6/3Q3R/1r6/k7/8/4p3/8 w - - ,225
KQRKQP,16104255438,3662232849,4RQ2/8/5K2/3q4/8/3p4/2k5/8 w - - ,205
KRKNNP,8702321820,610003039,2k5/p3K3/5n2/8/8/8/n2R4/8 w - - ,135
KRKBNP,17404643640,4221942177,k7/p3b3/4K3/8/8/8/4R3/7n w - - ,133
KRKRNP,17404643640,5261030745,k7/p3r3/4K3/8/8/8/4R3/7n w - - ,133
KRKQNP,17404643640,4584053460,k7/p3q3/4K3/8/8/8/4R3/7n w - - ,133
KRKBBP,8702321820,1797733072,8/7p/8/8/k1b5/2K5/8/b5R1 w - - ,77
KRKRBP,17404643640,5514130609,8/7p/8/8/k1r5/2K5/8/b5R1 w - - ,77
KRKQBP,17404643640,4577797692,8/7p/8/8/k1q5/2K5/8/b5R1 w - - ,77
KRKRRP,8702321820,2443656441,2K5/1p1r4/1k6/8/8/8/1r6/1R6 w - - ,57
KRKQRP,17404643640,4015812630,2K5/1p1r4/1k6/8/8/8/1q6/1R6 w - - ,57
KRKQQP,8702321820,1642182487,3K4/8/5p2/8/q1k3q1/8/8/R7 w - - ,55
KQQQKP,2272477092,95725597,k7/5Q2/8/4Q3/8/8/1p1Q4/2K5 w - - ,51
KQQKNP,7503402998,740389855,8/8/8/8/7Q/2k5/2pnQ3/1K6 w - - ,119
KQQKBP,7503402998,782017927,8/Q7/8/8/4b3/1k6/5p2/QK6 w - - ,101
KQQKRP,7503402998,895681999,8/8/1pk5/K7/8/8/Qr6/4Q3 w - - ,193
KQQKQP,7503402998,1167282431,QQ6/8/8/8/1K4q1/8/4p3/2k5 w - - ,119
KQKNNP,8252784300,2584495613,8/6pQ/8/n2k4/8/1n6/8/4K3 w - - ,233
KQKBNP,16505568600,5876984971,6Q1/7K/6p1/8/8/k2b4/n7/8 w - - ,445
KQKRNP,16505568600,4858722657,7n/5rp1/8/Q7/8/8/2k5/K7 w - - ,327
KQKQNP,16505568600,5202873239,8/8/6Q1/8/8/8/4p1n1/Kq1k4 w - - ,125
KQKBBP,8252784300,2868076274,8/3k4/8/8/2p2Q2/2b5/4b3/7K w - - ,307
KQKRBP,16505568600,4398063388,1b6/8/8/K3p3/8/6Q1/8/2k2r2 w - - ,237
KQKQBP,16505568600,5543129130,4q3/3K4/8/8/8/1p4Q1/k2b4/8 w - - ,101
KQKRRP,8252784300,2418760684,K7/8/8/5p2/3k4/1Q2r3/8/7r w - - ,215
KQKQRP,16505568600,5283961097,8/1q6/7K/2r5/2p5/8/6Q1/1k6 w - - ,207
KQKQQP,8252784300,1964315407,K7/8/8/8/8/4p3/Q6q/q1k5 w - - ,57
KKNNNP,3023591880,885324486,,
KKBNNP,9070775640,2616710716,,
KKRNNP,9070775640,1795862807,,
KKQNNP,9070775640,1552726087,,
KKBBNP,9070775640,2609059491,,
KKRBNP,18141551280,3619739783,,
KKQBNP,18141551280,3206014642,,
KKRRNP,9070775640,1227048685,,
KKQRNP,18141551280,2383803086,,
KKQQNP,9070775640,1060810688,,
KKBBBP,3023591880,782577175,,
KKRBBP,9070775640,1805448659,,
KKQBBP,9070775640,1573173200,,
KKRRBP,9070775640,1233805038,,
KKQRBP,18141551280,2341986114,,
KKQQBP,9070775640,1060829071,,
KKRRRP,3023591880,276760207,,
KKQRRP,9070775640,908069442,,
KKQQRP,9070775640,878242054,,
KKQQQP,3023591880,237631846,,
KNNPPK,2882231452,570175669,N7/N7/6K1/2k5/8/1P6/1P6/8 w - - ,63
KBNPPK,6074757660,1148273034,N1k4K/2P5/2P5/B7/8/8/8/8 w - - ,65
KRNPPK,6025289685,768155995,RN6/Pk6/8/8/8/8/P7/7K w - - ,39
KQNPPK,5720330983,589868650,8/8/8/8/8/8/k1PP4/N1QK4 w - - ,25
KNPPKN,6071020409,2413748962,N7/8/8/1k6/8/6P1/n5P1/4K3 w - - ,185
KNPPKB,6071020409,2445814803,8/8/N1b5/8/k7/8/2P1P3/K7 w - - ,175
KNPPKR,6071020409,1695882803,8/k1PN1r2/8/8/8/1P6/8/K7 w - - ,193
KNPPKQ,6071020409,2590426986,8/2P5/3N4/8/8/4P2K/k7/q7 w - - ,259
KBBPPK,3092810979,546430662,1B6/8/8/8/8/P1Bk1K2/P7/8 w - - ,49
KRBPPK,6241486572,737048236,8/8/8/8/BR6/kP6/P7/K7 w - - ,31
KQBPPK,5924377014,571897745,K7/8/8/8/8/8/k1PP4/2QB4 w - - ,27
KBPPKN,6289527204,2252767354,8/P7/1k6/2n5/B3K3/8/P7/8 w - - ,209
KBPPKB,6289527204,2216333363,8/8/k1K5/8/1P6/B7/4P3/7b w - - ,163
KBPPKR,6289527204,1794332495,8/4P3/1r6/8/5B2/8/P7/K2k4 w - - ,297
KBPPKQ,6289527204,2509176408,8/5B1P/8/8/3k4/7P/4q3/1K6 w - - ,315
KRRPPK,3042916925,261785588,8/8/8/8/1RPR4/2k5/2P5/1K6 w - - ,23
KQRPPK,5876041674,438401451,8/8/8/1Q6/8/1P6/1RP5/k6K w - - ,15
KRPPKN,6239761412,1491893907,8/4R3/8/K1k1P3/2n5/4P3/8/8 w - - ,107
KRPPKB,6239761412,1712335313,7b/8/8/8/1R6/3P4/2kP4/K7 w - - ,139
KRPPKR,6239761412,2109552721,8/8/8/8/1k6/3r2P1/7P/K6R w - - ,189
KRPPKQ,6239761412,2381384126,8/k1P5/8/8/1R5P/8/K7/7q w - - ,431
KQQPPK,2739271851,158812352,Q7/QK6/PP6/8/8/8/8/k7 w - - ,9
KQPPKN,5920486098,888956820,8/8/2K5/8/1n6/6P1/Q3P3/2k5 w - - ,87
KQPPKB,5920486098,947593101,8/8/8/8/1k6/2b3P1/1K4P1/Q7 w - - ,67
KQPPKR,5920486098,1173277710,6rK/8/8/8/4PP2/8/2Q5/k7 w - - ,107
KQPPKQ,5920486098,1911245779,8/3k4/8/7Q/8/P7/7P/4K2q w - - ,363
KPPKNN,3197807670,1393618462,8/8/4P3/3k4/1P6/6n1/8/n3K3 w - - ,165
KPPKBN,6395615340,3228494299,8/8/8/P6P/K1k5/8/4b3/4n3 w - - ,121
KPPKRN,6395615340,2710068195,8/P7/5n2/K7/8/1k3r2/3P4/8 w - - ,221
KPPKQN,6395615340,1796085913,4n3/6P1/8/8/8/2K1P3/k4q2/8 w - - ,255
KPPKBB,3197807670,1066702033,8/2K5/1P3P2/3k4/8/8/8/bb6 w - - ,173
KPPKRB,6395615340,2536421088,8/7P/r7/8/5b2/k7/4P3/K7 w - - ,309
KPPKQB,6395615340,1661963822,2b5/q6P/8/8/4K3/4P3/8/k7 w - - ,249
