id,numpos,bytes,fen,dtm
KQQNKQ,2350606433,315275194,1Q6/8/8/7Q/8/K4N2/8/q2k4 w - - ,89
KQNKNN,2583520320,778718151,8/5n1Q/3n4/8/2N5/2k2K2/8/8 w - - ,135
KQNKBN,5167040640,1549205109,8/8/8/2N5/3b4/1Q6/3kn3/K7 w - - ,105
KQNKRN,5167040640,1966084119,1n2Q3/8/K7/8/8/8/2rN4/2k5 w - - ,137
KQNKQN,5167040640,829288967,1q6/7n/7Q/8/8/4K3/8/3kN3 w - - ,85
KQNKBB,2583520320,785047233,7Q/7K/7N/8/4b3/3kb3/8/8 w - - ,163
KQNKRB,5167040640,1991949418,8/N7/6Q1/8/3b4/8/1K1k4/5r2 w - - ,141
KQNKQB,5167040640,845283016,q7/7Q/8/8/1K2N3/8/8/1k4b1 w - - ,87
KQNKRR,2583520320,1144738667,8/r6N/8/8/r3K3/8/7Q/2k5 w - - ,347
KQNKQR,5167040640,1584802822,7q/r7/6K1/8/6Q1/8/4N3/3k4 w - - ,105
KQNKQQ,2583520320,703082879,6q1/8/8/Q7/8/2qK4/8/1N1k4 w - - ,83
KNKNNN,945889180,371311722,8/8/8/8/8/8/nn6/knN1K3 w - - ,1
KNKBNN,2837667540,1260055060,8/8/8/8/8/8/b7/knKnN3 w - - ,1
KNKRNN,2837667540,1082865647,8/8/8/8/8/8/r2N4/knKn4 w - - ,1
KNKQNN,2837667540,805509299,8/8/8/8/8/8/qn6/knK1N3 w - - ,1
KNKBBN,2837667540,1489353418,8/8/8/8/8/8/b7/knK1Nb2 w - - ,1
KNKRBN,5675335080,2491718912,8/8/8/8/8/8/r2N4/kbKn4 w - - ,1
KNKQBN,5675335080,1933037861,8/8/8/8/8/8/b1q5/knK1N3 w - - ,1
KNKRRN,2837667540,1054098093,8/8/8/8/8/8/r2Nr3/knK5 w - - ,1
KNKQRN,5675335080,1761225103,8/8/8/8/8/8/r2Nq3/knK5 w - - ,1
KNKQQN,2837667540,698400779,8/8/8/8/8/8/qnq5/k1K1N3 w - - ,1
KNKBBB,945889180,379358287,8/8/8/8/8/8/b7/k1K1Nbb1 w - - ,1
KNKRBB,2837667540,1258590421,8/8/8/8/8/8/r2N4/kbK1b3 w - - ,1
KNKQBB,2837667540,995356091,8/8/8/8/8/8/b7/k1K1Nbq1 w - - ,1
KNKRRB,2837667540,998669646,8/8/8/8/8/8/r2Nr3/kbK5 w - - ,1
KNKQRB,5675335080,1657755513,8/8/8/8/8/8/r2Nq3/kbK5 w - - ,1
KNKQQB,2837667540,652378389,8/8/8/8/8/5q2/b1q5/k1K1N3 w - - ,1
KNKRRR,945889180,221861901,8/8/8/8/8/8/r2Nrr2/k1K5 w - - ,1
KNKQRR,2837667540,597827811,8/8/8/8/8/8/r2Nqr2/k1K5 w - - ,1
KNKQQR,2837667540,496112717,8/8/8/8/8/8/r2Nqq2/k1K5 w - - ,1
KNKQQQ,945889180,114157730,,
KBBBBK,210258555,31246593,7K/8/8/8/7B/6B1/7B/2kB4 w - - ,25
KRBBBK,878922960,118780256,7K/8/8/8/8/8/BR6/kBB5 w - - ,21
KQBBBK,834353610,80574878,2B1Q3/3B4/4K3/8/8/8/4B3/1k6 w - - ,11
KBBBKN,885603570,207116093,8/8/8/1B6/K7/2n5/1Bk5/7B w - - ,155
KBBBKB,885603570,135298001,8/8/8/BK6/8/8/8/1b1kB2B w - - ,51
KBBBKR,885603570,280660941,K7/8/8/8/8/8/B3r2B/1Bk5 w - - ,149
KBBBKQ,885603570,246026711,8/8/8/B7/1B2B3/8/qk6/4K3 w - - ,47
KRRBBK,1330608375,133664829,1R6/7K/8/8/8/8/BR6/kB6 w - - ,19
KQRBBK,2569702320,195998019,8/8/8/8/8/8/4B1KR/k4B1Q w - - ,9
KRBBKN,2728283310,618276410,8/8/8/8/8/1nk5/3RB3/K1B5 w - - ,155
KRBBKB,2728283310,610501399,8/b7/8/8/3K4/8/BBk5/R7 w - - ,57
KRBBKR,2728283310,770131321,r7/3K4/8/8/B6B/8/R7/1k6 w - - ,139
KRBBKQ,2728283310,382242948,8/B7/8/RB6/5K2/8/1q6/3k4 w - - ,105
KQQBBK,1198051335,89146520,8/8/8/8/8/8/5BB1/k3K1QQ w - - ,7
KQBBKN,2588901120,427443411,8/1B6/3Q4/1n6/3K4/8/2kB4/8 w - - ,151
KQBBKB,2588901120,425080467,8/5b2/8/8/1BK5/7B/Q7/2k5 w - - ,45
KQBBKR,2588901120,502650181,7K/6Br/8/8/8/4Q3/8/1B1k4 w - - ,79
KQBBKQ,2588901120,726194632,8/7K/8/5q2/2B5/8/1k2B3/7Q w - - ,191
KBBKNN,1398096450,289078017,4n3/8/8/B7/8/3K4/8/n1kB4 w - - ,211
KBBKBN,2796192900,290463929,7b/6n1/8/5B2/8/7K/8/2k3B1 w - - ,179
KBBKRN,2796192900,964130412,8/8/8/5r2/1n6/B2k4/B7/2K5 w - - ,159
KBBKQN,2796192900,1067425511,8/8/8/5q2/1n6/B2k4/B7/2K5 w - - ,159
KBBKBB,1398096450,8673553,8/3B4/8/8/8/8/8/k1Kbb1B1 w - - ,45
KBBKRB,2796192900,245330126,8/3B4/8/8/3r4/8/8/k1K1b1B1 w - - ,45
KBBKQB,2796192900,843419224,8/3B4/8/8/3q4/8/8/k1K1b1B1 w - - ,45
KBBKRR,1398096450,444294890,4r3/8/8/8/3r4/8/8/k1K3BB w - - ,45
KBBKQR,2796192900,855855376,4r3/8/8/8/3q4/8/8/k1K3BB w - - ,45
KBBKQQ,1398096450,446304470,8/3q4/8/8/BB6/8/3q4/K1k5 w - - ,41
KRRRBK,864639060,43292046,8/5K2/4R3/8/2R5/3kB3/4R3/8 w - - ,11
KQRRBK,2548584450,135544639,6RQ/6KR/7B/8/8/8/2k5/8 w - - ,9
KRRBKN,2706549480,415460779,8/8/1R6/5K2/2R5/4n3/1B6/1k6 w - - ,67
KRRBKB,2706549480,457821756,K7/8/8/5R2/4R3/3kB3/8/7b w - - ,55
KRRBKR,2706549480,499138147,8/6B1/8/2R5/R7/8/8/1k3rK1 w - - ,137
KRRBKQ,2706549480,722351147,1B6/8/8/8/8/8/4qKRR/3k4 w - - ,179
KQQRBK,2417267160,119977613,8/8/8/8/4KRQQ/8/4B3/k7 w - - ,7
KQRBKN,5224923180,623452331,8/8/1R6/5K2/2Q5/4n3/1B6/1k6 w - - ,67
KQRBKB,5224923180,664654373,8/4Q3/8/2K5/8/b7/2Bk4/2R5 w - - ,53
KQRBKR,5224923180,718595765,8/6B1/8/2R5/Q7/8/7K/1k5r w - - ,135
KQRBKQ,5224923180,938907366,8/R7/8/6B1/8/7q/2k5/Q6K w - - ,133
KRBKNN,2822371200,1442922680,8/K7/2nn4/8/8/1B1k4/1R6/8 w - - ,475
